OBS,E,N,S,W,PCEXP,EXP,PCAID,AID,POP,DEN,DPOP,URB,PCINC,INC,PS
1,1,0,0,0,686.16,704.000122,186,190.8359985,1026,0.033182,2.5,21.6,3664,3759264,251
2,1,0,0,0,679.59,526.0026855,123,95.20200347,774,0.085743,21.5,27.3,4279,3311946,168
3,1,0,0,0,893.48,411.0007934,235,108.0999984,460,0.049639,14.1,0,3703,1703380,107
4,1,0,0,0,891.3,5165.975097,190,1101.23999,5796,0.74061,10.5,84.7,4825,2.80E+07,1203
5,1,0,0,0,721.36,698.9978027,184,178.2960052,969,0.92374,10.5,84.7,4513,4373097,190
6,1,0,0,0,826.62,2545.98999,145,446.6000061,3080,0.63348,19.6,82.6,5414,1.67E+07,665
7,1,0,0,0,1238.6,22749.36914,240,4408.080078,18367,0.384,8.7,86.5,5275,9.69E+07,3524
8,1,0,0,0,804.33,5911.021972,141,1036.208984,7349,0.97713,18.2,76.9,5379,3.95E+07,1513
9,1,0,0,0,742.55,8840.057617,136,1619.079956,11905,0.26476,4.2,79.4,4545,5.41E+07,2362
10,0,1,0,0,640.46,6867.013183,112,1200.864013,10722,0.26167,9.7,77.7,4572,4.90E+07,2422
11,0,1,0,0,653.99,3456.990966,103,544.4580078,5286,0.14644,11.4,61.9,4364,2.31E+07,1221
12,0,1,0,0,794.65,8935.044921,156,1754.063964,11244,0.20169,10.2,80.1,5162,5.80E+07,2349
13,0,1,0,0,865.31,7799.039062,147,1324.91101,9013,0.15863,13.4,76.7,4982,4.49E+07,2197
14,0,1,0,0,830.09,3756.988037,116,525.0159912,4526,0.083101,11.8,57.6,4279,1.94E+07,995
15,0,1,0,0,909.98,3527.992919,163,631.9509887,3877,0.048897,11.5,56.9,4343,1.68E+07,910
16,0,1,0,0,730.93,2108.001953,113,325.8919982,2884,0.051554,2.4,35.6,4316,1.24E+07,647
17,0,1,0,0,664.84,3155.996093,151,716.796997,4747,0.068802,8.3,64.1,4307,2.04E+07,1030
18,0,1,0,0,749.21,474.9992065,201,127.4339981,634,0.009152,-2.3,11.9,4128,2617152,142
19,0,1,0,0,766.18,521.0023803,195,132.6000061,680,0.008953,-2.1,14.3,3766,2560880,162
20,0,1,0,0,688.48,1051.996948,134,204.7519989,1528,0.019978,5.1,42.8,4451,6801128,330
21,0,1,0,0,683.86,1550.994995,132,299.376007,2268,0.027731,3.2,42.3,4535,1.03E+07,475
22,0,0,1,0,1000,571,170,97.06999969,571,0.28809,22.8,70.4,5222,2981762,134
23,0,0,1,0,837.94,3391.980957,135,546.4799804,4048,0.40926,26.5,84.3,5017,2.03E+07,921
24,0,0,1,0,637.36,3037.020019,131,624.2150268,4765,0.11978,17.2,61.2,4396,2.09E+07,1069
25,0,0,1,0,696.38,1250.001953,252,452.3399963,1795,0.074574,-6.2,31.3,3624,6505080,410
26,0,0,1,0,562.73,2938.012939,141,736.1610107,5221,0.10699,11.5,37.3,3868,2.02E+07,1161
27,0,0,1,0,562.5,1512,153,411.2640075,2688,0.088933,8.7,39.3,3500,9408000,624
28,0,0,1,0,675.47,3196.999023,178,842.473999,4733,0.081501,16.4,49.7,3956,1.87E+07,1090
29,0,0,1,0,649.38,4770.995117,114,837.5579833,7347,0.13583,37.1,68.6,4450,3.27E+07,1514
30,0,0,1,0,624.02,2063.010009,181,598.3859863,3306,0.08338,6,40,3634,1.20E+07,714
31,0,0,1,0,600.69,2446.010009,175,712.5999755,4072,0.098529,10,48.9,3708,1.51E+07,892
32,0,0,1,0,597.56,2104.009033,193,679.5529785,3521,0.069437,5.4,52.3,3476,1.22E+07,784
33,0,0,1,0,632.54,1427.010009,255,575.2800292,2256,0.0477,1.8,17.7,3188,7192128,526
34,0,0,1,0,504.98,1014,199,399.5920104,2008,0.038656,7.7,30.9,3345,6716760,462
35,0,0,1,0,719.9,2690.986083,196,732.6480102,3738,0.083196,11.9,54.8,3565,1.33E+07,846
36,0,0,1,0,671.1,1767.005981,190,500.269989,2633,0.03828,9.9,50.1,3837,1.01E+07,607
37,0,0,1,0,624.44,7246.001953,141,1636.16394,11604,0.044267,16.9,73.5,4085,4.74E+07,2738
38,0,0,0,1,819.83,586.998291,252,180.4320068,716,0.004918,2.9,24.4,4083,2923428,178
39,0,0,0,1,678.15,512.0032958,180,135.8999938,755,0.009132,6.9,15.8,3711,2801805,185
40,0,0,0,1,1063.6,368.0056152,369,127.6740036,346,0.00356,0.7,0,4269,1477074,86
41,0,0,0,1,812.18,1919.994018,183,432.6119995,2364,0.022782,25.8,71.7,4600,1.09E+07,575
42,0,0,0,1,764.87,823.000122,277,298.0520019,1076,0.008862,6.8,31.1,3512,3778912,285
43,0,0,0,1,775.85,1522.994018,150,294.4500122,1963,0.017308,36.1,74.5,4273,8387899,485
44,0,0,0,1,728.48,820.9968872,196,220.8919982,1127,0.013728,18.9,77.6,3741,4216107,306
45,0,0,0,1,1018.8,543.0203857,180,95.94000244,533,0.00485,71.3,80.7,5209,2776397,131
46,0,0,0,1,898.19,3070.013916,184,628.9119873,3418,0.051344,19.5,66,4601,1.57E+07,791
47,0,0,0,1,808.24,1766.004028,201,439.1849975,2185,0.022717,18.2,61.2,4339,9480715,471
48,0,0,0,1,982.41,20051.9707,200,4082.199951,20411,0.13054,27,92.7,5087,1.04E+08,4501
49,0,0,0,1,2147.7,698.0025024,570,185.25,325,0.000574,33.6,0,5222,1697150,85
50,0,0,0,1,1152,940.0319824,202,164.8320007,816,0.127,21.7,81.9,5153,4204848,182
